# Star names from the IAU Catalog of Star Names (IAU-CSN).
# Source:   https://www.pas.rochester.edu/~emamajek/WGSN/IAU-CSN.txt
# Authority: IAU Division C Working Group on Star Names (WGSN)
#           https://www.iau.org/science/scientific_bodies/working_groups/280/
# License:  Creative Commons Attribution (CC BY) — IAU-produced products are
#           free to use in perpetuity, world-wide, provided the source is cited.
# Modified: reduced to four columns (Name/ASCII, Designation, Con, Date) and
#           reformatted as CSV. No names, designations or dates were altered.
# Catalogue edition: 2022-04-04
# Extracted: 2026-08-24
name,designation,constellation,iau_approval_date
Absolutno,XO-5,Lyn,2019-12-17
Acamar,HR 897,Eri,2016-07-20
Achernar,HR 472,Eri,2016-06-30
Achird,HR 219,Cas,2017-09-05
Acrab,HR 5984,Sco,2016-08-21
Acrux,HR 4730,Cru,2016-07-20
Acubens,HR 3572,Cnc,2016-07-20
Adhafera,HR 4031,Leo,2016-07-20
Adhara,HR 2618,CMa,2016-08-21
Adhil,HR 390,And,2016-08-21
Ain,HR 1409,Tau,2015-12-15
Ainalrami,HR 7116,Sgr,2017-09-05
Aladfar,HR 7298,Lyr,2017-09-05
Alasia,HD 168746,Ser,2019-12-17
Albaldah,HR 7264,Sgr,2017-09-05
Albali,HR 7950,Aqr,2016-09-12
Albireo,HR 7417,Cyg,2016-07-20
Alchiba,HR 4623,Crv,2016-09-12
Alcor,HR 5062,UMa,2016-06-30
Alcyone,HR 1165,Tau,2016-06-30
Aldebaran,HR 1457,Tau,2016-06-30
Alderamin,HR 8162,Cep,2016-07-20
Aldhanab,HR 8353,Gru,2017-09-05
Aldhibah,HR 6396,Dra,2017-09-05
Aldulfin,HR 7852,Del,2017-09-05
Alfirk,HR 8238,Cep,2016-08-21
Algedi,HR 7754,Cap,2016-08-21
Algenib,HR 39,Peg,2016-06-30
Algieba,HR 4057,Leo,2016-07-20
Algol,HR 936,Per,2016-06-30
Algorab,HR 4757,Crv,2016-07-20
Alhena,HR 2421,Gem,2016-07-20
Alioth,HR 4905,UMa,2016-06-30
Aljanah,HR 7949,Cyg,2017-06-30
Alkaid,HR 5191,UMa,2016-06-30
Alkalurops,HR 5733,Boo,2016-08-21
Alkaphrah,HR 3594,UMa,2017-09-05
Alkarab,HR 8905,Peg,2017-09-05
Alkes,HR 4287,Crt,2016-09-12
Almaaz,HR 1605,Aur,2017-02-01
Almach,HR 603,And,2016-07-20
Alnair,HR 8425,Gru,2016-07-20
Alnasl,HR 6746,Sgr,2016-08-21
Alnilam,HR 1903,Ori,2016-07-20
Alnitak,HR 1948,Ori,2016-07-20
Alniyat,HR 6084,Sco,2017-02-01
Alphard,HR 3748,Hya,2016-07-20
Alphecca,HR 5793,CrB,2016-07-20
Alpheratz,HR 15,And,2016-06-30
Alpherg,HR 437,Psc,2018-06-01
Alrakis,HR 6370,Dra,2017-02-01
Alrescha,HR 596,Psc,2016-08-21
Alruba,HR 6618,Dra,2018-06-01
Alsafi,HR 7462,Dra,2017-06-30
Alsciaukat,HR 3275,Lyn,2017-06-30
Alsephina,HR 3485,Vel,2017-09-05
Alshain,HR 7602,Aql,2016-08-21
Alshat,HR 7773,Cap,2017-06-30
Altair,HR 7557,Aql,2016-06-30
Altais,HR 7310,Dra,2016-08-21
Alterf,HR 3773,Leo,2017-02-01
Aludra,HR 2827,CMa,2016-07-20
Alula Australis,HR 4375,UMa,2016-07-20
Alula Borealis,HR 4377,UMa,2016-07-20
Alya,HR 7141,Ser,2016-08-21
Alzirr,HR 2484,Gem,2017-06-30
Amadioha,HD 43197,CMa,2019-12-17
Amansinaya,WASP-34,Crt,2019-12-17
Anadolu,WASP-52,Peg,2019-12-17
Ancha,HR 8499,Aqr,2016-09-12
Angetenar,HR 850,Eri,2017-06-30
Aniara,HD 102956,UMa,2019-12-17
Ankaa,HR 99,Phe,2016-07-20
Anser,HR 7405,Vul,2017-06-30
Antares,HR 6134,Sco,2016-06-30
Arcalis,HD 131496,Boo,2019-12-17
Arcturus,HR 5340,Boo,2016-06-30
Arkab Posterior,HR 7343,Sgr,2016-10-05
Arkab Prior,HR 7337,Sgr,2016-10-05
Arneb,HR 1865,Lep,2016-07-20
Ascella,HR 7194,Sgr,2016-09-12
Asellus Australis,HR 3461,Cnc,2016-11-06
Asellus Borealis,HR 3449,Cnc,2016-11-06
Ashlesha,HR 3482,Hya,2018-06-01
Aspidiske,HR 3699,Car,2016-07-20
Asterope,HR 1151,Tau,2016-08-21
Atakoraka,WASP-64,CMa,2019-12-17
Athebyne,HR 6132,Dra,2017-09-05
Atik,HR 1131,Per,2016-09-12
Atlas,HR 1178,Tau,2016-08-21
Atria,HR 6217,TrA,2016-07-20
Avior,HR 3307,Car,2016-07-20
Axolotl,HD 224693,Cet,2019-12-17
Ayeyarwady,HD 18742,Eri,2019-12-17
Azelfafage,HR 8301,Cyg,2016-09-12
Azha,HR 874,Eri,2016-09-12
Azmidi,HR 3045,Pup,2018-06-01
Baekdu,HD 133086,UMi,2019-12-17
Barnard's Star,GJ 699,Oph,2017-02-01
Baten Kaitos,HR 539,Cet,2016-09-12
Beemim,HR 1393,Eri,2017-06-30
Beid,HR 1298,Eri,2016-09-12
Belel,HD 181342,Sgr,2019-12-17
Belenos,HD 8574,Psc,2019-12-17
Bellatrix,HR 1790,Ori,2016-06-30
Berehynia,HAT-P-15,Per,2019-12-17
Betelgeuse,HR 2061,Ori,2016-06-30
Bharani,HR 838,Ari,2017-06-30
Bibha,HD 86081,Sex,2019-12-17
Biham,HR 8450,Peg,2016-08-21
Bosona,HD 206610,Aqr,2019-12-17
Botein,HR 951,Ari,2016-09-12
Brachium,HR 5603,Lib,2017-09-05
Bubup,HD 38283,Men,2019-12-17
Buna,HD 16175,And,2019-12-17
Bunda,HR 8264,Aqr,2018-06-01
Canopus,HR 2326,Car,2016-06-30
Capella,HR 1708,Aur,2016-06-30
Caph,HR 21,Cas,2016-06-30
Castor,HR 2891,Gem,2016-06-30
Castula,HR 265,Cas,2017-09-05
Cebalrai,HR 6603,Oph,2016-08-21
Ceibo,HD 63454,Cha,2019-12-17
Celaeno,HR 1140,Tau,2016-08-21
Cervantes,HR 6585,Ara,2015-12-15
Chalawan,HR 4277,UMa,2015-12-15
Chamukuy,HR 1412,Tau,2017-09-05
Chaophraya,WASP-50,Eri,2019-12-17
Chara,HR 4785,CVn,2016-07-20
Chason,HAT-P-5,Lyr,2019-12-17
Chechia,HD 192699,Aql,2019-12-17
Chertan,HR 4359,Leo,2016-07-20
Citadelle,HD 1502,Psc,2019-12-17
Citala,HD 52265,Mon,2019-12-17
Cocibolca,HD 4208,Scl,2019-12-17
Copernicus,HR 3522,Cnc,2015-12-15
Cor Caroli,HR 4915,CVn,2016-07-20
Cujam,HR 6117,Her,2017-02-01
Cursa,HR 1666,Eri,2016-07-20
Dabih,HR 7776,Cap,2016-08-21
Dalim,HR 963,For,2017-09-05
Deneb,HR 7924,Cyg,2016-06-30
Deneb Algedi,HR 8322,Cap,2017-02-01
Denebola,HR 4534,Leo,2016-06-30
Diadem,HR 4968,Com,2017-02-01
Dingolay,HD 96063,Leo,2019-12-17
Diphda,HR 188,Cet,2016-08-21
Diwo,WASP-17,Sco,2019-12-17
Diya,WASP-72,For,2019-12-17
Dofida,HD 117618,Cen,2019-12-17
Dombay,HAT-P-3,UMa,2019-12-17
Dschubba,HR 5953,Sco,2016-08-21
Dubhe,HR 4301,UMa,2016-06-30
Dziban,HR 6636,Dra,2017-09-05
Ebla,HD 218566,Psc,2019-12-17
Edasich,HR 5744,Dra,2015-12-15
Electra,HR 1142,Tau,2016-08-21
Elgafar,HR 5409,Vir,2018-06-01
Elkurud,HR 2177,Col,2018-06-01
Elnath,HR 1791,Tau,2016-07-20
Eltanin,HR 6705,Dra,2016-08-21
Emiw,HD 7199,Tuc,2019-12-17
Enif,HR 8308,Peg,2016-07-20
Errai,HR 8974,Cep,2015-12-15
Fafnir,HR 6945,Dra,2015-12-15
Fang,HR 5944,Sco,2017-06-30
Fawaris,HR 7528,Cyg,2018-06-01
Felis,HR 3923,Hya,2018-06-01
